Provincia,ID_INE,gdppc16,gdppc17p
Alava,1,36001,36921
Albacete,2,19073,19888
Alicante,3,18302,19066
Almeria,4,19078,20465
Asturias,33,20920,21981
Avila,5,18700,19555
Badajoz,6,16838,17637
Balears (Illes),7,26093,27134
Barcelona,8,28794,29885
Burgos,9,26783,27994
Caceres,10,17589,19077
Cadiz,11,16666,17231
Cantabria,39,21905,22767
Castellon,12,25000,26351
Ciudad_Real,13,19849,20771
Cordoba,14,17094,17964
Coruna_La,15,22463,23343
Cuenca,16,20820,22639
Girona,17,27759,28674
Granada,18,17261,17894
Guadalajara,19,18198,18968
Guipuzcoa,20,30489,32015
Huelva,21,17731,19185
Huesca,22,27601,28910
Jaen,23,16871,17465
Leon,24,19734,20473
Lleida,25,28211,29007
Lugo,27,22261,23049
Madrid,28,32840,34041
Malaga,29,17228,18036
Murcia,30,19997,20766
Navarra,31,29375,30508
Ourense,32,20201,20781
Palencia,34,25599,25508
Palmas (Las),35,19399,20221
Pontevedra,36,20463,21612
Rioja (La),26,25636,26528
Salamanca,37,19561,20654
Santa Cruz de Tenerife,38,19843,20712
Segovia,40,21880,22428
Sevilla,41,18813,19665
Soria,42,24098,24445
Tarragona,43,29012,29964
Teruel,44,23950,24928
Toledo,45,17357,18022
Valencia,46,21964,22882
Valladolid,47,24664,25482
Vizcaya,48,29904,30901
Zamora,49,19537,19662
Zaragoza,50,25901,27011
