uf,states,gh_dez19,gh_jan20,gh_fev20,hc_dez19,hc_jan20,hc_fev20,gf_aid_dez19,gf_aid_jan20,gf_aid_fev20,tphy_dez19,tphy_jan20,tphy_fev20,sus_phy_dez19,sus_phy_jan20,sus_phy_fev20,thop_bed_jan20,thop_bed_dez19,thop_bed_ev20,sushop_bed_dez19,sushop_bed_jan20,sushop_bed_fev20
11,Rondônia,72,72,72,95,92,94,1,1,1,2531,2532,2547,2061,2060,2081,4453,4445,4480,3654,3647,3647
12,Acre,16,16,16,26,26,26,,,,955,965,981,871,879,886,2403,2408,2403,1487,1483,1483
13,Amazonas,78,78,78,127,127,131,,,,4611,4581,4597,3896,3869,3892,5784,5784,5800,5595,5595,5605
14,Roraima,11,11,11,37,39,40,,,,825,868,881,793,836,849,2742,2861,2707,1156,1151,1151
15,Pará,203,203,202,824,817,817,4,4,4,7339,7346,7283,5853,5938,5963,13840,14358,13754,11505,11428,11422
16,Amapá,10,10,10,82,82,81,,,,806,820,824,751,761,764,1457,1457,1463,1038,1038,1044
17,Tocantins,64,64,64,40,40,40,1,1,1,2294,2278,2317,2015,1985,2043,4293,4293,4312,2523,2523,2562
21,Maranhão,227,227,227,436,436,434,4,4,4,5725,5792,5788,4943,5000,4993,14354,14347,14368,12961,12985,12988
22,Piauí,94,91,90,515,516,515,4,4,4,4116,4058,3994,3555,3621,3632,9420,9362,9404,6902,6858,6862
23,Ceará,218,218,217,447,447,453,4,4,4,11498,11628,11618,8867,8945,8950,19238,19220,19284,15662,15596,15593
24,Rio Grande do Norte,77,74,75,326,327,325,8,8,8,5314,5250,5207,4299,4348,4356,8139,8203,8220,6437,6443,6453
25,Paraíba,98,97,98,239,240,238,4,4,4,6221,6288,6227,5370,5418,5429,10626,10664,10643,7140,7130,7120
26,Pernambuco,211,210,211,307,305,306,6,6,6,15021,14840,14881,12533,12642,12640,21640,22185,21684,17388,17094,17064
27,Alagoas,46,46,46,188,187,187,3,3,3,4389,4411,4403,3854,3872,3862,6384,6411,6394,5243,5228,5295
28,Sergipe,28,28,28,259,263,262,9,9,9,3731,3759,3750,3087,3108,3123,6281,6219,6257,2682,2728,2724
29,Bahia,462,460,461,1004,1005,1007,10,10,10,20039,20184,20208,15967,16042,16151,34256,34253,34293,24697,24672,24719
31,Minas Gerais,542,541,540,896,891,886,47,47,47,46783,47060,47022,33205,33404,33663,42337,42330,42090,30400,30421,30391
32,Espírito Santo,88,84,84,153,149,149,3,3,3,8981,8842,8838,6017,6112,6075,14964,15744,15353,5851,5740,5741
33,Rio de Janeiro,307,274,281,369,372,372,41,40,40,42879,41838,40987,28493,28741,28712,48129,51095,48489,23946,23607,23720
35,São Paulo,739,737,740,302,304,299,122,119,119,119389,118438,118918,79960,80833,81125,94088,94623,94206,59799,60012,59850
41,Paraná,390,388,389,754,753,749,15,15,15,23911,24110,24206,16941,17112,17151,28976,29018,29084,20854,20783,20797
42,Santa Catarina,199,197,197,303,306,303,6,5,5,15830,15945,16012,11177,11276,11440,18532,18536,18574,11973,11951,11948
43,Rio Grande do Sul,288,288,288,666,664,663,13,13,13,27706,27862,27943,21787,21893,21966,30761,30805,30791,22479,22502,22554
50,Mato Grosso do Sul,97,97,97,57,57,57,3,3,3,5430,5469,5461,4513,4541,4514,6759,6726,6744,4065,4084,4080
51,Mato Grosso,156,155,155,161,157,158,12,11,11,5168,5228,5245,3493,3539,3528,9030,9050,9022,5687,5612,5600
52,Goiás,331,330,330,187,186,183,18,18,18,11871,11897,11973,9050,9054,9109,25282,18937,19113,11481,11535,11521
53,Distrito Federal,36,14,37,2,2,2,1,-,-,10196,10222,10259,6662,6651,6654,15867,6631,6705,4430,4430,4342
